member_id,firstname,surname,address_1,address_2,state,zip,email,birthday,membership_level,member_since
adav5604,Alexis,Davis,52737 Juan Forks Suite 988,East Francis,New Jersey,34885,alexisdavis112@hmail.com,2003-05-26,True,Gold
mmil6054,Melissa,Miller,263 Amy Plains Suite 619,Patrickland,New Jersey,92767,awesomemiller399@hmail.com,1997-06-20,True,Silver
cjen5822,Carmen,Jenkins,4750 Lozano Flat,Fryland,New York,41302,superjenkins275@aobell.com,1991-12-08,False,Gold
mrob9443,Maria,Roberson,493 Lindsey Walks Suite 695,Nicolehaven,New Jersey,82555,maria.ro465@hmail.com,1999-11-06,False,Silver
lgon7340,Leslie,Gonzalez,267 Hernandez Run,Antonioside,North Dakota,96463,lesliegonzalez330@hmail.com,2000-04-16,False,Silver
wros8412,Wendy,Rosales,7258 Duke Mall,Thomashaven,Wyoming,88391,wendyrosales378@coldmail.com,1992-07-05,False,Silver
rall4836,Richard,Allen,62440 Johnson Courts,Brandontown,New Jersey,59741,richardcheese508@theallens.com,1988-07-06,True,Bronze
larn8682,Lisa,Arnold,1161 Daniel Track,West Valerie,Massachusetts,97303,generalarnold330@hmail.com,1987-05-08,True,Bronze
kmcc5669,Kimberly,Mccall,6685 Lester Row,Port Joel,New York,01521,admiralmccall63@aobell.com,1998-09-29,False,Gold
alit4075,Amy,Little,164 Aguilar Lake Suite 120,Port Jason,New Jersey,90721,a.little562@aobell.com,1988-07-07,False,Bronze
towe1813,Thomas,Owens,4382 Henry Mills,Spenceside,New York,43976,thomas.owens433@aobell.com,1987-05-08,False,Silver
aeva8855,Adrienne,Evans,19381 Nina Way,West Paulview,Nevada,03618,adrienneevans546@theevanss.com,1999-08-05,True,Bronze
msny3938,Mike,Snyder,649 Jessica Flat,Liuborough,Connecticut,52226,mike.sn866@aobell.com,1993-10-17,False,Bronze
jmay6193,Jacqueline,May,68371 Mccarthy Isle,New Joy,New Hampshire,41164,jacquelinebear460@hmail.com,2003-03-01,True,Bronze
tlop6584,Tyler,Lopez,9565 Hannah Trace Suite 956,South Judithmouth,Rhode Island,46906,tylerlopez165@thelopezs.com,2002-10-22,False,Bronze
rhar7062,Ryan,Hart,4382 Freeman Mall Apt. 319,East Maureen,New Jersey,38033,ryanhart926@coldmail.com,1999-01-04,True,Bronze
rlaw9185,Rachel,Lawrence,44847 Snyder Stream Suite 724,Kayleeville,New York,36030,superlawrence296@aobell.com,1979-07-01,False,Silver
agon9566,Anthony,Gonzalez,1259 Fischer Keys,Brandybury,Pennsylvania,66822,anthony.go778@coldmail.com,2004-07-08,True,Bronze
pcar8202,Pamela,Carroll,847 Petty Spurs Suite 734,Cookebury,New Jersey,36371,pamelareal788@aobell.com,2003-10-02,False,Silver
dper6810,Diane,Perez,9871 Martin Islands Apt. 034,Lake Linda,Massachusetts,04724,diane.pe2@aobell.com,1998-03-13,False,Bronze
mfra8709,Mark,Franco,2400 Deanna Route Suite 885,Ellenhaven,New York,05871,mark.franco120@aobell.com,1996-05-18,False,Silver
drot6499,Destiny,Roth,7193 Obrien Run Apt. 972,Valeriestad,Minnesota,05649,destinyroth336@coldmail.com,2001-03-11,False,Bronze
apar6120,Allison,Parker,638 Valerie River,Carrmouth,New York,93847,allisonparker143@hmail.com,2001-11-23,False,Bronze
cmar2757,Christopher,Marshall,54949 Kelly Run,Paulfurt,New York,00912,christopher.marshall773@hmail.com,2001-08-27,False,Gold
jmcd8333,Jennifer,Mcdonald,26447 Cortez Lights Suite 372,Lake Hannah,Ohio,96697,jennifermcdonald238@aobell.com,2004-05-19,False,Silver
csan5384,Christine,Sandoval,97615 Brown Burg,Wintersport,New York,38881,c.sandoval911@aobell.com,1998-09-02,False,Bronze
hher3970,Hannah,Hernandez,6029 Anderson Stream,Leefurt,New Jersey,99485,hannahhernandez881@thehernandezs.com,1996-07-29,False,Silver
