sale_id,licenses_bought,account_id,account_holder,company,trial_period,account_renewed,sale_date,intended_use,organization_size,budget,account_plan
182,6,C5474,James Hall,Cobb-Parker,True,False,2020-01-01,Tracking KPIs,13,2244.0,basic
183,12,C8844,Amanda Kelly,"Zimmerman, Hall and Scott",True,False,2020-01-01,Tracking KPIs,37,3995.0,basic
184,22,C9308,Hannah Garcia,Leonard LLC,True,False,2020-01-01,Tracking KPIs,70,4634.0,basic
185,26,C8828,Scott Hoffman,"Durham, Curry and Johnson",True,False,2020-01-01,Tracking KPIs,102,5101.0,basic
186,104,C8832,Ryan Rice,Bishop LLC,True,False,2020-01-05,Data Management,298,16361.0,pro
187,29,C1362,Ashley Landry,"Bush, Salinas and Conrad",True,False,2020-01-06,Data Analysis,61,8689.0,basic
188,664,C6262,Nancy Hobbs,Brooks-Mcpherson,True,False,2020-01-07,Data Analysis,1915,21421.0,advanced
189,53,C1455,Jocelyn Hayden,Cook Ltd,True,False,2020-01-07,Data Analysis,74,5362.0,pro
190,16,C3010,Sarah Page,"Robinson, Hudson and White",True,False,2020-01-08,Data Analysis,34,1910.0,basic
191,209,C4122,Paul Gill,Burke PLC,True,False,2020-01-08,Tracking KPIs,808,18711.0,pro
192,140,C6151,Steven Lewis,Bryan-Powell,True,False,2020-01-08,Data Management,385,11366.0,pro
193,51,C9240,Julie Lynch,Rangel-Jones,True,False,2020-01-09,Data Analysis,97,5169.0,pro
194,169,C8545,Victoria Boyd,Morales-Simpson,True,False,2020-01-10,Data Analysis,283,11719.0,pro
195,253,C5596,Julie Phillips,Manning Ltd,True,False,2020-01-12,Data Analysis,762,10901.0,pro
196,1,I2303,Danielle Brown,Danielle Brown,True,False,2020-01-12,Personal,1,79.99,individual
197,10,C6190,Brian Mann,Clay-Young,True,False,2020-01-13,Tracking KPIs,28,2179.0,basic
198,23,C1968,Jeremy Schmidt,Copeland Inc,True,False,2020-01-13,Accounting,101,6946.0,basic
199,1,I1594,Laura Wheeler,Laura Wheeler,True,False,2020-01-14,Personal,1,79.99,individual
200,13,C8945,Lori Nelson,Campbell-Carlson,True,False,2020-01-15,Data Analysis,80,7958.0,basic
201,165,C5342,Timothy Wilcox,Gomez-Logan,True,False,2020-01-15,Accounting,573,10853.0,pro
202,13,C5248,Wesley Ramos,"Howard, Watkins and Smith",True,False,2020-01-16,Data Analysis,23,3086.0,basic
