employee_id,employee_name,employee_email,role,level,Department,country,start_date,end_date, tenure,reason_for_leaving,salary
rm903eji,Robert Martinez,robert.martinez@renhaas.org,Compliance Officer,Executive,People,US,11/02/2015,,3165,,$43145.00
mb802ypf,Matthew Bradley,matthew.bradley@renhaas.org,Complaints Officer,Senior Executive,Customer Support,USA,24/02/2012,,4248,,$43067.00
jm480udd,Jeremy Miller,jeremy.miller@renhaas.org,Office Manager,Associate,People,UK,25/05/2016,,2696,,£31495.00
ca979wpl,Carolyn Alexander,,AM,Associate,Go To Market,USA,09/05/2020,03/11/2022,907,Resigned,$49304.00
km997zvz,Kenneth Moore,kenneth.moore@renhaas.org,Office Manager,Executive,People,USA,10/10/2022,,367,,$40301.00
dh258eqt,Donna Hayes,donna.hayes@renhaas.org,Payroll Analyst,Executive,People,USA,09/01/2011,,4659,,$41955.00
jp935nrn,Jack Pham,jack.pham@renhaas.org,Technician,Associate,Customer Support,USA,26/03/2020,,1295,,$39822.00
mb363bwy,Michelle Buckley,michelle.buckley@renhaas.org,Analyst,Executive,Customer Support,USA,16/07/2022,,453,,$43140.00
dg754jov,Darrell Guerrero,darrell.guerrero@renhaas.org,AM,Executive,GTM,United States,16/06/2020,,1213,,$51399.00
aa655obb,Ashley Aguilar,ashley.aguilar@renhaas.org,Analyst,Associate,Customer Support,US,09/01/2017,,2467,,$41287.00
aa655obb,Ashley Aguilar,ashley.aguilar@renhaas.org,Analyst,Associate,Customer Support,US,09/01/2017,,2467,,$41287.00
lw137bjg,Leah Williams,leah.williams@renhaas.org,Marketing Analyst,Executive,Marketing,United States,28/05/2011,,4520,,$56667.00
aa664nqh,Andrea Austin,andrea.austin@renhaas.org,Researcher,Executive,Product,US,24/11/2010,,4705,,$64383.00
pa919sqz,Peter Atkinson,peter.atkinson@renhaas.org,Office Manager,Executive,People,United States,11/02/2013,,3895,,$139803.00
as966hhn,Ana Stewart,,Complaints Officer,Principal,Customer Support,US,06/05/2012,06/04/2013,335,Retired,$46587.00
dk742cqt,Dana Klein,dana.klein@renhaas.org,Analyst,Principal,Data,US,17/09/2022,,390,,$82839.00
kt196iim,Katherine Thomas,katherine.thomas@renhaas.org,Software Engineer,Associate,Product,United States,26/09/2013,,3668,,$62753.00
rb351enj,Rachel Blair,rachel.blair@renhaas.org,Marketing Analyst,Senior Executive,Marketing,UK,10/11/2019,,1432,,£52671.00
mg386ncs,Marie Garcia,marie.garcia@renhaas.org,Analyst,Associate,Customer Support,United Kingdom,26/01/2021,,989,,£33691.00
eg597tsp,Emily Graves,emily.graves@renhaas.org,Analyst,Principal,Data and Insight,United Kingdom,11/01/2013,,3926,,£69382.00
dh556ynm,Daniel Hopkins,daniel.hopkins@renhaas.org,Data Scientist,Associate,Data,US,29/10/2018,,1809,,$67061.00
nk673nzl,Nathan King,nathan.king@renhaas.org,AM,Executive,GTM,United States,28/12/2019,,1384,,$50827.00
jy204idz,Johnny Young,johnny.young@renhaas.org,Technician,Executive,Customer Support,United Kingdom,27/11/2020,,1049,,£34940.00
pd394mtl,Patrick Durham,,Complaints Officer,Executive,Customer Support,United Kingdom,28/07/2014,18/11/2016,843,Resigned,£31883.00
jm513juc,Justin Mueller,,Analyst,Executive,D&I,United States,01/04/2021,07/09/2023,889,Resigned,$70689.00
df436gho,Dana Flowers,dana.flowers@renhaas.org,Complaints Officer,Associate,Customer Support,United Kingdom,29/01/2020,,1352,,£30105.00
sm756ocq,Stephanie Mccoy,stephanie.mccoy@renhaas.org,Account Manager,Executive,Go To Market,US,03/07/2011,,4484,,$50922.00
mw311fbj,Michael West,,Complaints Officer,Principal,Customer Support,United States,04/06/2010,28/09/2019,3403,Resigned,$46650.00
cp328cxu,Cameron Perez,cameron.perez@renhaas.org,Complaints Officer,Executive,Customer Support,United Kingdom,30/11/2017,,2142,,£31759.00
pp952erb,Paige Prince,paige.prince@renhaas.org,Hiring Manager,Principal,People,United Kingdom,09/09/2018,,1859,,£42173.00
ms540ttn,Maurice Smith,,CSM,Principal,Go To Market,US,30/10/2012,22/12/2016,1514,Resigned,$60137.00
jb535rzg,John Burke,john.burke@renhaas.org,Analyst,Executive,Data,United States,02/12/2020,,1044,,$68419.00
ew791ltw,Emily Watkins,emily.watkins@renhaas.org,Analyst,Principal,D&I,United States,05/07/2010,,4847,,$84370.00
dl469eyj,Deborah Lopez,deborah.lopez@renhaas.org,Diversity Officer,Associate,People,US,27/06/2021,,837,,$36690.00
dl469eyj,Deborah Lopez,deborah.lopez@renhaas.org,Diversity Officer,Associate,People,US,27/06/2021,,837,,$36690.00
bh776fro,Billy Hawkins,,Marketing Analyst,Executive,Marketing,UK,07/08/2016,28/04/2023,2455,Retired,£48314.00
