customer_id,customer_title,forename,surname,address_1,address_2,address_3,county,postcode,telephone,age,package_bought,monthly_subscription,days_active,recent_nps,,1a,Quantitative Data,,,Qualitative Data,,,,,,
376,,Brenda,Field,Studio 57B,Rose Trafficway,Humphreyshaven,Renfrewshire,HD9 2NB,4.41155E+11,48,enterprise,32.9,246,7,,,Data related to quantities or amounts,,,Data related to descriptions or categories,,,,,,
377,,Alison,Hughes-Williams,738 James Plains,,North Russellfort,West Yorkshire,S9W 5WY,+4429 2018 0118,43,pro,26.46,153,7,,1b,Discrete,Continuous,Ordinal,Textual,,,,,,
378,Dr,David,Mason,Flat 33,Maria Curve,Frostton,Caernarvonshire,HD46 3PR,+44808 157 0161,50,basic,17.59,171,9,,,Data can take on values from a finite range,Data can take on any value within a range,Data is ordered and each value has meaning,Data is given in a text format,,,,,,
379,,Guy,Harris,Studio 93,Cook Row,Edwardbury,Norfolk,PL6Y 3LJ,4.41415E+11,61,basic,19.16,172,8,,1c,Sensitive Data,,,,,,,,,
380,,Amber,Brooks-Williams,Flat 03t,Maria Camp,South Tony,Aberdeen City,S27 0BP,+44808 1570976,29,basic,18.43,131,8,,,Data that contains proprietary information or is PII (Personiable Identifiable Information). ,,,,,,,,,
381,,Ronald,Taylor,Flat 1,Karl View,West Louis,West Berkshire,WS0 4NA,+44(0)909 8790439,37,enterprise,19.05,162,8,,,,,,,,,,,,
382,Miss,Molly,Clark,Studio 6,Craig Radial,East Harrietbury,East Lothian,DY96 8FL,+44808 157 0242,40,basic,19.94,205,9,,,,,,,,,,,,
383,,Jane,Scott-French,Studio 2,Herbert Locks,East Natashabury,Stirling,G4U 4RD,(0161) 4960968,67,basic,15.61,222,9,,2,Average monthly subscription,"""=AVERAGE( )""","""=MEDIAN( ) """,,,,,,,
384,Mr,Rhys,Martin,Studio 4,Smith Harbor,Lake Katherine,South Yorkshire,B8 8TB,01632 960 621,49,basic,16.48,190,7,,3,Average NPS,"""=AVERAGE( )""",,,,,,,,
385,,Malcolm,May,Flat 83H,Carly Neck,Shepherdmouth,Nottinghamshire,N5E 0UE,+44(0)28 9018382,50,pro,34.67,135,8,,4,Range of monthly subscription,"""=MAX( ) - MIN( )""",,,,,,,,
386,Mr,Ross,Lamb,5 Scott Courts,,North Lindaland,Denbighshire,ME4W 4WB,(0161) 496 0010,48,basic,16.2,243,9,,,,,,,,,,,,
387,Miss,Megan,Smith,Studio 54S,Johnson Springs,Jenkinshaven,East Ayrshire,CT53 3RD,+44(0)9098790358,36,pro,33.56,219,9,,5,NPS frequency,Upper limit,Category,,,,,,,
388,,Wayne,McDonald,4 Shaw Viaduct,,Terrymouth,Tyne and Wear,ST9 8WS,4.41415E+11,43,pro,26.12,234,9,,,,6,Detractor,,,,,,,
389,,Leanne,Wood,1 Pauline Burgs,,North Catherineborough,Northumberland,SG9M 9BN,4.41155E+11,39,pro,33.06,260,8,,,,8,Neutral,,,,,,,
390,,Holly,Miller,654 Liam Crossroad,,Knightside,Greater London,S3H 3RA,+44115 4960399,22,enterprise,21.75,251,8,,,,10,Promoter,,,,,,,
391,,Gemma,Barrett,Studio 53,Joshua Field,South Allanton,Merseyside,HP7 1SG,0808 1570509,35,pro,30.74,168,7,,,,,,,,,,,,
392,Mr,Frederick,Preston,5 Wright Summit,,Arthurport,Merseyside,TA1P 2PX,+44(0)191 496 0397,42,basic,18.32,196,8,,Stretch,,,,,,,,,,
393,,Barry,Sims,9 Gilbert Islands,,South Luke,South Ayrshire,NE03 7PP,(0115) 4960784,36,enterprise,37.97,190,4,,1,Average days_active,"""=AVERAGE( )""",Standard Deviation,"""=STDEV.S( )""",,,,,,
394,,Wendy,Taylor,Flat 0,Jonathan Light,South Jill,Tyne and Wear,W4W 0AE,+44(0)3069990046,36,basic,19.72,206,10,,2,Most common package,"""=MODE.SINGL( )""",,,,,,,,
395,,Jonathan,Hill-Smith,Studio 63v,Mary Ports,Stanleychester,Cardiganshire,ZE36 5LQ,(028)9018376,47,enterprise,34.49,238,8,,,,,,,,,,,,
